Player,Team,xA90,NPxG90_xA90,xGChain90,xGBuildup90
Erling Haaland,Manchester City,0.09,0.95,0.83,0.1
Bryan Mbeumo,Brentford,0.27,0.53,0.67,0.24
Chris Wood,Nottingham Forest,0.09,0.58,0.52,0.09
Cole Palmer,Chelsea,0.58,0.95,1.07,0.25
Danny Welbeck,Brighton,0.07,0.62,0.7,0.22
Mohamed Salah,Liverpool,0.34,0.81,1.27,0.54
Nicolas Jackson,Chelsea,0.16,0.93,0.98,0.13
Ollie Watkins,Aston Villa,0.18,0.93,0.92,0.22
Liam Delap,Ipswich,0.03,0.42,0.5,0.13
Luis Díaz,Liverpool,0.3,0.89,1.26,0.49
Cole Palmer,Chelsea,0.51,1.08,1.36,0.35
Chris Wood,Nottingham Forest,0.03,0.43,0.43,0.12
Bryan Mbeumo,Brentford,0.13,0.38,0.66,0.35
Danny Welbeck,Brighton,0.07,0.74,0.65,0.07
Liam Delap,Ipswich,0.02,0.51,0.74,0.25
Nicolas Jackson,Chelsea,0.2,1.01,1.03,0.1
Son Heung-Min,Tottenham,0.37,0.62,1.0,0.45
Mohamed Salah,Liverpool,0.26,0.66,1.02,0.4
Raúl Jiménez,Fulham,0.5,1.23,1.27,0.32
Yoane Wissa,Brentford,0.08,1.03,1.3,0.27
Rayan Ait Nouri,Wolverhampton Wanderers,0.07,0.24,0.32,0.13
Matheus Cunha,Wolverhampton Wanderers,0.22,0.37,0.3,0.11
Ollie Watkins,Aston Villa,0.08,0.52,0.73,0.26
Brennan Johnson,Tottenham,0.15,0.77,0.89,0.2
John Stones,Manchester City,0.0,0.31,0.36,0.36
Jamie Vardy,Leicester,0.04,0.29,0.29,0.0
Dominic Solanke,Tottenham,0.11,0.91,1.01,0.32
Jarrod Bowen,West Ham,0.4,0.6,0.52,0.08
Mateo Kovacic,Manchester City,0.06,0.19,0.59,0.48
Kai Havertz,Arsenal,0.06,0.81,0.74,0.17
Alexander Isak,Newcastle United,0.14,0.79,0.82,0.07
Dejan Kulusevski,Tottenham,0.4,0.77,1.06,0.31
Dwight McNeil,Everton,0.17,0.32,0.44,0.18
James Maddison,Tottenham,0.33,0.73,1.33,0.74
Georginio Rutter,Brighton,0.3,0.56,0.44,0.07
Bukayo Saka,Arsenal,1.08,1.35,0.77,0.27
Gabriel Martinelli,Arsenal,0.22,0.83,0.9,0.11
James Justin,Leicester,0.11,0.16,0.48,0.44
Erling Haaland,Manchester City,0.08,0.87,0.72,0.09
João Pedro,Brighton,0.17,0.48,0.7,0.38
Iliman Ndiaye,Everton,0.1,0.28,0.61,0.39
Ethan Pinnock,Brentford,0.14,0.26,0.54,0.5
Josko Gvardiol,Manchester City,0.07,0.18,0.68,0.53
Cameron Archer,Southampton,0.0,0.99,1.16,0.21
Luis Díaz,Liverpool,0.2,0.64,0.61,0.19
Jørgen Strand Larsen,Wolverhampton Wanderers,0.01,0.16,0.3,0.15
Facundo Buonanotte,Leicester,0.14,0.57,0.53,0.31
Mohammed Kudus,West Ham,0.08,0.71,0.85,0.22
Morgan Rogers,Aston Villa,0.28,0.54,0.87,0.48
Evanilson,Bournemouth,0.14,0.35,0.32,0.1
Kevin De Bruyne,Manchester City,0.53,0.78,0.84,0.4
Alex Iwobi,Fulham,0.37,0.57,1.06,0.53
Michail Antonio,West Ham,0.43,0.78,1.1,0.44
Jordan Ayew,Leicester,0.01,0.08,0.18,0.13
Virgil van Dijk,Liverpool,0.07,0.16,0.8,0.74
Andreas Pereira,Fulham,0.24,0.44,0.64,0.4
Michael Keane,Everton,0.0,0.02,0.05,0.05
Casemiro,Manchester United,0.31,0.63,0.85,0.75
Mikel Merino,Arsenal,0.17,0.41,0.33,0.15
Yves Bissouma,Tottenham,0.05,0.08,0.44,0.37
Gabriel,Arsenal,0.0,0.41,0.13,0.13
Jean-Philippe Mateta,Crystal Palace,0.08,0.27,0.27,0.0
Ibrahima Konaté,Liverpool,0.06,0.08,0.79,0.79
Curtis Jones,Liverpool,0.05,0.46,0.83,0.38
Harvey Barnes,Newcastle United,0.15,0.36,0.57,0.31
Diogo Jota,Liverpool,0.01,0.53,0.6,0.2
Morgan Gibbs-White,Nottingham Forest,0.29,0.5,0.6,0.39
Justin Kluivert,Bournemouth,0.04,0.21,0.26,0.09
Christian Nørgaard,Brentford,0.01,0.27,0.43,0.31
Emile Smith-Rowe,Fulham,0.05,0.39,0.68,0.36
Lucas Paquetá,West Ham,0.11,0.4,0.57,0.24
