Player,Team,Minutes,NpGI90,xA90,NPxG90_xA90,xGChain90,xGBuildup90
Erling Haaland,Manchester City,1080,0.9166666666666666,0.07,1.12,0.91,0.11
Mohamed Salah,Liverpool,1060,1.1037735849056605,0.35,0.88,1.23,0.41
Chris Wood,Nottingham Forest,947,0.665258711721225,0.09,0.53,0.5,0.08
Bryan Mbeumo,Brentford,1079,0.5838739573679332,0.23,0.43,0.55,0.21
Matheus Cunha,Wolverhampton Wanderers,988,0.9109311740890689,0.32,0.62,0.66,0.2
Cole Palmer,Chelsea,1056,0.9375,0.5,0.88,0.93,0.22
Nicolas Jackson,Chelsea,1000,0.9,0.16,0.79,0.85,0.16
Danny Welbeck,Brighton,1045,0.6889952153110048,0.06,0.53,0.69,0.29
Yoane Wissa,Brentford,643,0.9797822706065319,0.06,0.85,1.09,0.25
Ollie Watkins,Aston Villa,969,0.7430340557275542,0.13,0.91,0.84,0.16
Liam Delap,Ipswich,888,0.7094594594594594,0.09,0.6,0.67,0.11
James Maddison,Tottenham,805,0.8944099378881988,0.3,0.71,0.94,0.42
Luis Díaz,Liverpool,683,0.9224011713030746,0.28,0.77,1.15,0.48
Brennan Johnson,Tottenham,906,0.4966887417218543,0.09,0.76,0.92,0.22
Jamie Vardy,Leicester,941,0.38257173219978746,0.09,0.33,0.34,0.01
Dominic Solanke,Tottenham,892,0.6053811659192825,0.12,0.76,0.79,0.17
Raúl Jiménez,Fulham,746,0.6032171581769437,0.35,0.95,0.97,0.22
Kai Havertz,Arsenal,990,0.45454545454545453,0.1,0.64,0.71,0.18
Alexander Isak,Newcastle United,858,0.6293706293706294,0.14,0.7,0.65,0.06
Harvey Barnes,Newcastle United,538,0.8364312267657993,0.29,0.63,0.79,0.26
Bukayo Saka,Arsenal,936,1.1538461538461537,0.69,1.04,0.84,0.29
João Pedro,Brighton,372,1.4516129032258065,0.39,0.93,1.11,0.43
Jørgen Strand Larsen,Wolverhampton Wanderers,1015,0.5320197044334976,0.15,0.39,0.47,0.15
Noni Madueke,Chelsea,883,0.40770101925254815,0.1,0.55,0.59,0.18
Antoine Semenyo,Bournemouth,1063,0.4233301975540922,0.25,0.71,0.87,0.21
Jhon Durán,Aston Villa,251,1.4342629482071714,0.04,1.04,1.19,0.48
Evanilson,Bournemouth,818,0.4400977995110024,0.08,0.58,0.56,0.04
Son Heung-Min,Tottenham,734,0.8583106267029973,0.48,0.65,0.94,0.46
Alex Iwobi,Fulham,1044,0.43103448275862066,0.34,0.49,0.79,0.35
Jordan Ayew,"Crystal Palace, Leicester",523,0.3441682600382409,0.02,0.44,0.51,0.19
Jarrod Bowen,West Ham,1064,0.42293233082706766,0.34,0.5,0.45,0.09
Mateo Kovacic,Manchester City,894,0.30201342281879195,0.16,0.25,0.59,0.45
Harry Wilson,Fulham,83,3.253012048192771,0.0,0.88,0.94,0.06
Jean-Philippe Mateta,Crystal Palace,847,0.3187721369539551,0.11,0.48,0.5,0.09
Rayan Ait Nouri,Wolverhampton Wanderers,1032,0.436046511627907,0.09,0.26,0.38,0.15
Dwight McNeil,Everton,981,0.5504587155963303,0.33,0.43,0.49,0.26
Emile Smith-Rowe,Fulham,886,0.5079006772009029,0.14,0.41,0.71,0.37
Gabriel Martinelli,Arsenal,699,0.6437768240343348,0.27,0.66,0.76,0.2
Tomas Soucek,West Ham,742,0.3638814016172507,0.06,0.4,0.62,0.25
Josko Gvardiol,Manchester City,1029,0.26239067055393583,0.13,0.24,0.86,0.69
Alejandro Garnacho,Manchester United,799,0.45056320400500627,0.11,0.61,0.75,0.15
Facundo Buonanotte,Leicester,739,0.6089309878213802,0.3,0.61,0.54,0.26
Morgan Rogers,Aston Villa,1003,0.44865403788634095,0.26,0.54,0.71,0.33
Sammie Szmodics,Ipswich,629,0.4292527821939587,0.02,0.53,0.61,0.09
Joelinton,Newcastle United,1005,0.1791044776119403,0.06,0.24,0.56,0.38
Marcus Rashford,Manchester United,854,0.3161592505854801,0.21,0.35,0.59,0.31
John Stones,Manchester City,278,0.6474820143884892,0.0,0.22,0.5,0.5
Ross Barkley,Aston Villa,327,0.8256880733944955,0.08,0.39,0.64,0.46
Bruno Fernandes,Manchester United,1021,0.3525954946131244,0.31,0.65,0.89,0.4
Michael Keane,Everton,810,0.2222222222222222,0.01,0.1,0.13,0.13
Thomas Partey,Arsenal,1023,0.17595307917888564,0.04,0.08,0.57,0.52
Adam Armstrong,Southampton,537,0.5027932960893855,0.09,0.37,0.3,0.11
Dominic Calvert-Lewin,Everton,1007,0.26812313803376364,0.05,0.46,0.34,0.05
Yves Bissouma,Tottenham,492,0.36585365853658536,0.03,0.06,0.56,0.51
Gabriel,Arsenal,1048,0.1717557251908397,0.04,0.26,0.38,0.35
Callum Hudson-Odoi,Nottingham Forest,899,0.20022246941045607,0.13,0.23,0.57,0.4
Dejan Kulusevski,Tottenham,958,0.4697286012526096,0.37,0.58,0.78,0.25
Diogo Jota,Liverpool,507,0.7100591715976331,0.14,0.82,1.04,0.31
Pedro Porro,Tottenham,1080,0.25,0.12,0.23,0.48,0.35
Georginio Rutter,Brighton,699,0.5150214592274678,0.19,0.51,0.54,0.16
Justin Kluivert,Bournemouth,707,0.38189533239038187,0.17,0.37,0.55,0.3
Lucas Paquetá,West Ham,918,0.09803921568627451,0.1,0.24,0.38,0.19
Stephy Mavididi,Leicester,634,0.28391167192429023,0.12,0.4,0.66,0.44
Marc Guehi,Crystal Palace,1080,0.16666666666666666,0.0,0.14,0.24,0.24
Leandro Trossard,Arsenal,681,0.2643171806167401,0.17,0.54,0.67,0.23
James Justin,Leicester,985,0.27411167512690354,0.05,0.09,0.31,0.29
Anthony Gordon,Newcastle United,936,0.19230769230769232,0.23,0.47,0.5,0.18
Iliman Ndiaye,Everton,912,0.19736842105263158,0.07,0.23,0.47,0.29
Amadou Onana,Aston Villa,743,0.24226110363391656,0.01,0.25,0.37,0.33
Ethan Pinnock,Brentford,1080,0.16666666666666666,0.12,0.18,0.43,0.36
Cameron Archer,Southampton,609,0.2955665024630542,0.01,0.57,0.6,0.1
Darwin Núñez,Liverpool,515,0.5242718446601942,0.17,0.53,0.69,0.16
Kaoru Mitoma,Brighton,1017,0.35398230088495575,0.26,0.62,0.79,0.29
João Gomes,Wolverhampton Wanderers,1036,0.2606177606177606,0.03,0.1,0.36,0.28
Mohammed Kudus,West Ham,671,0.26825633383010433,0.14,0.57,0.69,0.18
Fabian Schär,Newcastle United,837,0.10752688172043011,0.01,0.06,0.29,0.27
Kevin De Bruyne,Manchester City,387,0.46511627906976744,0.63,0.87,0.93,0.45
Michail Antonio,West Ham,763,0.23591087811271297,0.19,0.5,0.59,0.2
Ola Aina,Nottingham Forest,1055,0.08530805687203792,0.07,0.08,0.25,0.23
Virgil van Dijk,Liverpool,1080,0.16666666666666666,0.04,0.09,0.54,0.51
Adama Traoré,Fulham,748,0.48128342245989303,0.36,0.82,1.04,0.24
Andreas Pereira,Fulham,929,0.0968783638320775,0.24,0.4,0.56,0.37
Danny Ings,West Ham,73,2.4657534246575343,0.91,2.16,2.16,0.23
Mario Lemina,Wolverhampton Wanderers,977,0.368474923234391,0.08,0.17,0.41,0.33
Lewis Cook,Bournemouth,1080,0.3333333333333333,0.21,0.27,0.41,0.29
Pablo Sarabia,Wolverhampton Wanderers,172,0.5232558139534884,0.13,0.62,0.63,0.14
Casemiro,Manchester United,683,0.13177159590043924,0.24,0.38,0.58,0.39
Christopher Nkunku,Chelsea,129,0.6976744186046512,0.19,1.71,1.99,0.35
Mikel Merino,Arsenal,371,0.24258760107816713,0.09,0.36,0.53,0.42
Aaron Wan-Bissaka,West Ham,906,0.09933774834437085,0.04,0.06,0.17,0.14
Ismaila Sarr,Crystal Palace,564,0.3191489361702128,0.3,0.68,0.78,0.25
Gonçalo Guedes,Wolverhampton Wanderers,101,1.7821782178217822,0.39,0.77,0.8,0.09
Rodrigo Bentancur,Tottenham,545,0.1651376146788991,0.01,0.09,0.62,0.57
Ibrahima Konaté,Liverpool,979,0.18386108273748722,0.03,0.14,0.78,0.78
Pedro Neto,Chelsea,525,0.5142857142857142,0.36,0.46,0.67,0.33
Reiss Nelson,"Arsenal, Fulham",353,0.509915014164306,0.19,0.53,1.06,0.66
Trevoh Chalobah,Crystal Palace,540,0.16666666666666666,0.08,0.14,0.12,0.11
Curtis Jones,Liverpool,478,0.37656903765690375,0.04,0.34,0.64,0.32
David Brooks,Bournemouth,45,2.0,0.39,1.09,2.12,1.3
Morgan Gibbs-White,Nottingham Forest,647,0.1391035548686244,0.22,0.41,0.55,0.39
Christian Nørgaard,Brentford,832,0.21634615384615385,0.02,0.19,0.34,0.26
Cristian Romero,Tottenham,962,0.09355509355509356,0.05,0.16,0.44,0.42
Ezri Konsa Ngoyo,Aston Villa,821,0.10962241169305725,0.02,0.07,0.46,0.42
Jean-Ricner Bellegarde,Wolverhampton Wanderers,584,0.3082191780821918,0.05,0.09,0.29,0.22
João Félix,Chelsea,186,0.4838709677419355,0.03,0.44,0.74,0.36
Matthijs de Ligt,Manchester United,853,0.10550996483001172,0.01,0.12,0.28,0.27
Joshua Zirkzee,Manchester United,439,0.41002277904328016,0.23,0.79,0.77,0.12
Amad Diallo Traore,Manchester United,558,0.6451612903225806,0.24,0.41,0.64,0.41
Riccardo Calafiori,Arsenal,456,0.19736842105263158,0.02,0.12,0.4,0.39
Taylor Harwood-Bellis,Southampton,951,0.0946372239747634,0.09,0.25,0.23,0.17
George Hirst,Ipswich,163,1.1042944785276074,0.19,0.66,0.73,0.09
Wout Faes,Leicester,1080,0.08333333333333333,0.0,0.1,0.2,0.19
Eberechi Eze,Crystal Palace,810,0.2222222222222222,0.19,0.52,0.52,0.17
Mikkel Damsgaard,Brentford,886,0.40632054176072235,0.32,0.47,0.59,0.29
Leif Davis,Ipswich,1080,0.25,0.31,0.35,0.24,0.08
Jéremy Doku,Manchester City,422,0.4265402843601896,0.23,0.33,0.66,0.39
Moisés Caicedo,Chelsea,1070,0.2523364485981308,0.13,0.15,0.69,0.6
Crysencio Summerville,West Ham,422,0.2132701421800948,0.15,0.33,0.5,0.18
Fabio Carvalho,Brentford,254,0.7086614173228346,0.2,0.71,0.94,0.23
Dango Ouattara,Bournemouth,441,0.40816326530612246,0.38,0.74,0.7,0.23
Vitaly Janelt,Brentford,1018,0.35363457760314343,0.15,0.17,0.39,0.23
Nathan Collins,Brentford,1080,0.08333333333333333,0.02,0.15,0.37,0.34
Dominik Szoboszlai,Liverpool,836,0.215311004784689,0.21,0.37,0.98,0.69
Beto,Everton,90,1.0,0.0,1.85,1.07,0.0
Evan Ferguson,Brighton,83,1.0843373493975903,0.0,0.19,0.16,0.0
Omari Hutchinson,Ipswich,977,0.1842374616171955,0.14,0.23,0.39,0.2
Carlos Baleba,Brighton,690,0.2608695652173913,0.07,0.18,0.67,0.51
Tyler Dibling,Southampton,655,0.13740458015267176,0.16,0.27,0.47,0.23
Rodrigo Muniz,Fulham,335,0.5373134328358209,0.18,0.57,0.65,0.13
Marcus Tavernier,Bournemouth,901,0.29966703662597116,0.22,0.55,0.88,0.45
Ryan Christie,Bournemouth,711,0.12658227848101267,0.14,0.18,0.4,0.31
Joe Ayodele-Aribo,Southampton,661,0.1361573373676248,0.08,0.27,0.33,0.18
Luis Sinisterra,Bournemouth,200,0.9,0.56,1.3,1.06,0.01
Ryan Yates,Nottingham Forest,889,0.10123734533183353,0.05,0.23,0.31,0.19
Rasmus Højlund,Manchester United,446,0.20179372197309417,0.04,0.24,0.36,0.12
Ethan Nwaneri,Arsenal,38,2.3684210526315788,0.34,0.95,2.25,1.7
Jack Hinshelwood,Brighton,850,0.10588235294117647,0.02,0.11,0.36,0.28
Cody Gakpo,Liverpool,466,0.38626609442060084,0.34,0.57,0.84,0.46
Enzo Fernández,Chelsea,692,0.3901734104046243,0.19,0.33,0.72,0.41
Simon Adingra,Brighton,221,0.8144796380090498,0.19,0.36,0.23,0.11
Murillo,Nottingham Forest,1080,0.08333333333333333,0.08,0.15,0.24,0.21
Sam Morsy,Ipswich,988,0.18218623481781376,0.04,0.05,0.29,0.27
Yankuba Minteh,Brighton,407,0.44226044226044225,0.3,0.51,0.73,0.29
Yukinari Sugawara,Southampton,676,0.26627218934911245,0.31,0.34,0.2,0.09
Mateus Fernandes,Southampton,809,0.22249690976514216,0.18,0.36,0.51,0.21
Ramón Sosa,Nottingham Forest,100,0.9,0.53,1.12,1.29,0.17
Justin Devenny,Crystal Palace,156,0.5769230769230769,0.17,0.49,0.35,0.06
Ferdi Kadioglu,Brighton,401,0.22443890274314215,0.04,0.17,0.49,0.35
Matt O'Riley,Brighton,40,2.25,0.0,1.36,2.93,1.57
Timo Werner,Tottenham,254,0.7086614173228346,0.41,0.73,0.92,0.22
Jannik Vestergaard,Leicester,360,0.0,0.01,0.01,0.13,0.13
Bernd Leno,Fulham,1080,0.08333333333333333,0.0,0.0,0.31,0.3
Ilkay Gündogan,Manchester City,714,0.12605042016806722,0.12,0.32,0.77,0.6
Callum Wilson,Newcastle United,19,0.0,0.0,0.0,0.0,0.0
Adam Lallana,Southampton,318,0.5660377358490566,0.15,0.19,0.46,0.31
James Milner,Brighton,176,0.0,0.13,0.23,0.26,0.1
Aaron Cresswell,West Ham,21,0.0,0.09,0.26,0.36,0.36
Nathan Aké,Manchester City,116,0.0,0.0,0.14,0.28,0.18
Seamus Coleman,Everton,90,0.0,0.0,0.48,1.14,0.66
Nathaniel Clyne,Crystal Palace,303,0.0,0.0,0.0,0.34,0.34
Raheem Sterling,Arsenal,121,0.743801652892562,0.13,0.31,0.4,0.09
Ashley Young,Everton,880,0.3068181818181818,0.15,0.16,0.27,0.19
Alex McCarthy,Southampton,270,0.0,0.0,0.0,0.17,0.17
Kyle Walker,Manchester City,565,0.0,0.1,0.12,0.73,0.71
Christian Eriksen,Manchester United,508,0.0,0.29,0.32,0.79,0.71
Kieran Trippier,Newcastle United,287,0.0,0.05,0.07,0.44,0.43
Ben Davies,Tottenham,118,0.0,0.0,0.0,0.93,0.93
Idrissa Gueye,Everton,824,0.0,0.07,0.15,0.35,0.25
Jack Grealish,Manchester City,353,0.254957507082153,0.29,0.41,0.93,0.59
Lukasz Fabianski,West Ham,402,0.0,0.0,0.0,0.01,0.01
Jordan Pickford,Everton,1080,0.0,0.0,0.0,0.1,0.1
Jeffrey Schlupp,Crystal Palace,66,0.0,0.46,0.66,1.03,0.36
Craig Dawson,Wolverhampton Wanderers,738,0.0,0.01,0.05,0.28,0.28
Jonny Evans,Manchester United,287,0.0,0.0,0.02,0.35,0.35
Adam Smith,Bournemouth,693,0.0,0.02,0.05,0.34,0.29
James Ward-Prowse,"Nottingham Forest, West Ham",400,0.0,0.05,0.06,0.25,0.24
Kyle Walker-Peters,Southampton,895,0.1005586592178771,0.07,0.11,0.26,0.22
Harrison Reed,Fulham,44,0.0,0.16,0.2,0.44,0.44
Axel Tuanzebe,Ipswich,699,0.0,0.07,0.12,0.28,0.21
Harry Winks,Leicester,862,0.2088167053364269,0.12,0.13,0.28,0.26
Sam Johnstone,Wolverhampton Wanderers,450,0.0,0.01,0.01,0.08,0.08
Mason Holgate,Everton,1,0.0,0.0,0.0,0.0,0.0
Joseph Gomez,Liverpool,44,0.0,0.0,0.7,0.19,0.19
Luke Shaw,Manchester United,31,0.0,0.0,0.0,0.42,0.42
Emerson,West Ham,949,0.09483667017913593,0.05,0.13,0.24,0.13
Alisson,Liverpool,531,0.0,0.0,0.0,0.53,0.53
Neto,Bournemouth,180,0.0,0.0,0.0,0.21,0.21
Jorginho,Arsenal,206,0.0,0.07,0.09,0.35,0.29
Federico Chiesa,Liverpool,15,0.0,0.0,2.52,3.71,1.19
Sasa Lukic,Fulham,648,0.0,0.09,0.09,0.46,0.43
Emil Krafth,Newcastle United,241,0.0,0.02,0.03,0.29,0.29
Ben Mee,Brentford,2,0.0,0.0,0.0,0.0,0.0
James Tarkowski,Everton,1080,0.0,0.1,0.15,0.17,0.16
Ryan Fraser,Southampton,226,0.0,0.06,0.07,0.75,0.68
Harry Maguire,Manchester United,239,0.0,0.01,0.03,0.28,0.27
Andrew Robertson,Liverpool,862,0.0,0.21,0.26,0.72,0.59
Abdoulaye Doucouré,Everton,736,0.0,0.03,0.09,0.2,0.13
Jack Stephens,Southampton,681,0.0,0.03,0.06,0.19,0.19
Trent Alexander-Arnold,Liverpool,886,0.10158013544018059,0.34,0.37,0.68,0.47
Lucas Digne,Aston Villa,900,0.2,0.4,0.45,0.42,0.33
Jefferson Lerma,Crystal Palace,432,0.0,0.16,0.17,0.32,0.29
Emiliano Buendía,Aston Villa,11,0.0,0.38,1.44,1.74,1.36
Alphonse Areola,West Ham,678,0.0,0.0,0.0,0.09,0.09
Carlos Soler,West Ham,339,0.0,0.03,0.14,0.17,0.07
Rodri,Manchester City,59,0.0,0.08,0.08,2.21,2.21
Martin Odegaard,Arsenal,435,0.41379310344827586,0.34,0.58,0.82,0.49
Oleksandr Zinchenko,Arsenal,120,0.0,0.0,0.0,0.77,0.77
Issa Diop,Fulham,384,0.0,0.03,0.07,0.47,0.46
Maxwel Cornet,Southampton,71,0.0,0.0,0.1,0.1,0.0
Ricardo Pereira,Leicester,152,0.0,0.0,0.0,0.43,0.43
Bernardo Silva,Manchester City,917,0.29443838604143946,0.3,0.49,0.76,0.44
Odsonne Edouard,"Crystal Palace, Leicester",131,0.0,0.07,0.3,0.43,0.13
Álex Moreno,Nottingham Forest,714,0.12605042016806722,0.11,0.13,0.27,0.17
Emiliano Martinez,Aston Villa,1080,0.0,0.0,0.0,0.13,0.13
Kepa,Bournemouth,630,0.0,0.0,0.0,0.15,0.15
Estupiñán,Brighton,609,0.0,0.14,0.21,0.48,0.33
Leon Bailey,Aston Villa,597,0.3015075376884422,0.29,0.43,0.48,0.21
Gabriel Jesus,Arsenal,194,0.0,0.19,0.47,0.64,0.24
Wilfred Ndidi,Leicester,1005,0.3582089552238806,0.19,0.26,0.55,0.31
Nick Pope,Newcastle United,1080,0.0,0.0,0.0,0.16,0.16
